"SubIn","Goals","Assists","AverageGoalspermatch","AverageAssistspermatch","Yellow","Red","SpG","AW","Tackle","Int","Fouls","OffWon","Clr","WasDribbled","BlkShots","OG","KeyPasses","Dribbles","Fouled","Offs","Disp","Trn","Avg.Passes","PassSuc%","Crosses","LB","TB","Ballond'OrNominee"
4,1,1,"0.032258065","0.032258065",8,0,1,"1.7","3.3","1.3","2.7","0.1","2.2","1.3","0.3",0,"0.5","1.2","1.8",0,"1.2","1.4",33,"81.6","0.1","1.7","0.1","No"
2,2,0,"0.074074074",0,5,0,"0.6","2.6","1.5","1.4","0.8","1.6","8.8","0.4","0.7",0,"0.1","0.1","0.6",0,"0.1",0,45,"78.7",0,"3.5","0.1","No"
5,15,5,"0.441176471","0.147058824",1,0,"2.2","0.5","0.3","0.3","0.5",0,"0.1","0.1",0,0,"0.9","0.4","0.4","0.9","1.6","1.9","18.8","76.6","0.2","0.3","0.2","No"
0,0,0,0,0,4,0,"0.0875","2.9125","1.5",2425,"0.9375",775,"6.8","0.5375",1175,0,"0.15","0.4375","0.5","0.0875","0.35","0.15","33.1","82.9125",0,"2.15","0.0875","No"
7,18,3,"0.418604651","0.069767442",6,2,"2.225581395","1.313953488","1.125581395","0.637209302","0.937209302",0,"0.588372093","0.555813953","0.081395349",0,"0.83255814","0.562790698","1.53255814","0.5","0.981395349","1.044186047","27.90465116","77.73953488","0.081395349","0.818604651","0.344186047","No"
0,1,2,"0.024390244","0.048780488",9,1,"0.370731707","2.17804878","1.504878049","1.602439024","1.017073171","0.641463415","8.541463415","0.541463415","1.056097561",0,"0.114634146","0.158536585","0.3","0.085365854","0.085365854","0.114634146","19.60243902","75.54390244",0,"1.975609756",0,"No"
26,5,3,"0.15625","0.09375",2,0,"1.79375","1.44375","0.5","0.21875",875,0,"0.6625",0,"0.08125",0,"0.73125","0.3625","0.3","0.40625","0.8625","0.60625","11.1",71375,0,"0.3375",0,"No"
0,1,0,"0.033333333",0,6,0,"0.1","1.2","2.3","2.8","1.5","1.2",5,"0.6","0.7",0,"0.2","0.6","1.5",0,"0.2","0.5","41.4","91.6",0,3,0,"No"
11,18,7,"0.545454545","0.212121212",3,0,"2.506060606",2,"1.009090909","0.415151515","0.636363636",0,"0.715151515","0.821212121","0.078787879",0,"1.478787879","1.136363636","1.23030303","1.163636364","1.257575758","1.493939394","26.23333333","82.17272727","0.4","0.748484848","0.157575758","No"
1,3,5,"0.230769231","0.384615385",0,0,"2.8","0.2","1.5","0.9","0.6","0.1","0.8","1.1",0,0,"1.5","1.3","0.8","0.5","1.9","1.3","33.4","74.4","0.2","0.8","0.8","No"
