@RELATION 'training-set'

@ATTRIBUTE Apps NUMERIC
@ATTRIBUTE SubIn NUMERIC
@ATTRIBUTE Goals NUMERIC
@ATTRIBUTE Assists NUMERIC
@ATTRIBUTE AverageGoalspermatch NUMERIC
@ATTRIBUTE AverageAssistspermatch NUMERIC
@ATTRIBUTE Yellow NUMERIC
@ATTRIBUTE Red NUMERIC
@ATTRIBUTE SpG NUMERIC
@ATTRIBUTE AW NUMERIC
@ATTRIBUTE Tackle NUMERIC
@ATTRIBUTE Int NUMERIC
@ATTRIBUTE Fouls NUMERIC
@ATTRIBUTE OffWon NUMERIC
@ATTRIBUTE Clr NUMERIC
@ATTRIBUTE WasDribbled NUMERIC
@ATTRIBUTE BlkShots NUMERIC
@ATTRIBUTE OG NUMERIC
@ATTRIBUTE KeyPasses NUMERIC
@ATTRIBUTE Dribbles NUMERIC
@ATTRIBUTE Fouled NUMERIC
@ATTRIBUTE Offs NUMERIC
@ATTRIBUTE Disp NUMERIC
@ATTRIBUTE Trn NUMERIC
@ATTRIBUTE Avg.Passes NUMERIC
@ATTRIBUTE 'PassSuc%' NUMERIC
@ATTRIBUTE Crosses NUMERIC
@attribute LB numeric
@ATTRIBUTE TB NUMERIC
@ATTRIBUTE "Ballond'OrNominee" {Yes,No}

@DATA
58.00,4.00,64.00,15.00,1.032258065,0.241935484,13.00,0.00,7.087096774,1.632258065,0.529032258,0.261290323,0.761290323,0.025806452,0.674193548,0.209677419,0.025806452,1.00,1.716129032,1.85483871,2.322580645,1.087096774,1.732258065,1.764516129,33.82903226,78.38064516,0.274193548,0.716129032,0.183870968,Yes
47.00,7.00,62.00,18.00,1.148148148,0.333333333,1.00,0.00,4.774074074,0.22037037,0.57962963,0.3,0.359259259,0.0000000000,0.0000000000,0.238888889,0.0000000000,0.00,1.501851852,3.494444444,2.157407407,0.438888889,2.437037037,1.116666667,53.26851852,85.30185185,0.22037037,1.753703704,0.37962963,Yes
46.00,6.00,17.00,23.00,0.326923077,0.442307692,6.00,0.00,2.3,0.446153846,1.069230769,0.988461538,1.048076923,0.025000,0.117307692,1.142307692,0.076923077,0.00,2.755769231,4.390384615,2.332692308,0.430769231,3.244230769,1.415384615,52.97307692,86.02692308,1.392307692,2.915384615,0.301923077,Yes
60.00,1.00,48.00,21.00,0.786885246,0.344262295,14.00,2.00,4.673770492,2.132786885,0.555737705,0.4,2.07704918,0.0000000000,0.940983607,0.367213115,0.085245902,0.00,1.918032787,0.785245902,1.296721311,1.614754098,2.144262295,2.467213115,41.55245902,74.49344262,0.329508197,1.721311475,0.329508197,Yes
36.00,2.00,22.00,16.00,0.578947368,0.421052632,6.00,0.00,3.0000000000,0.65,1.0000000000,0.35,1.9,0.0000000000,0.0000000000,0.45,0.0000000000,0.00,1.85,3.25,4.6,0.8,1.8,2.3,39.65,83.76488294,0.55,0.8,0.35,Yes
49.00,14.00,5.00,20.00,0.079365079,0.317460317,6.00,0.00,1.32467998,0.046111396,1.419150026,0.548643113,0.613415259,0.0000000000,0.307629288,0.492780338,0.080952381,0.00,1.376036866,2.518023554,1.72734255,0.065335381,1.475985663,0.773476703,74.14126984,91.04755428,0.128827445,3.225652842,0.518228367,Yes
50.00,5.00,36.00,10.00,0.654545455,0.181818182,9.00,0.00,3.538181818,1.265454545,0.601818182,0.338181818,1.136363636,0.0000000000,1.227272727,0.210909091,0.16,0.00,1.567272727,0.76,1.216363636,1.130909091,1.941818182,1.229090909,25.41272727,79.48727273,1.076363636,1.032727273,0.090909091,Yes
27.00,10.00,15.00,9.00,0.405405405,0.243243243,1.00,0.00,3.135135135,0.454054054,1.172972973,0.875675676,1.040540541,0.0000000000,0.235135135,0.902702703,0.032432432,0.00,1.92972973,2.4,1.464864865,0.516216216,1.572972973,1.056756757,31.29189189,83.15675676,1.051351351,0.697297297,0.454054054,Yes
49.00,2.00,31.00,14.00,0.607843137,0.274509804,10.00,0.00,4.376470588,1.547058824,0.878431373,1.052941176,0.743137255,0.080392157,1.466666667,0.390196078,0.119607843,1.00,2.01372549,1.654901961,1.156862745,0.292156863,1.388235294,1.52745098,32.31568627,78.61293775,1.651260504,1.229971989,0.178431373,Yes
57.00,1.00,9.00,12.00,0.155172414,0.206896552,10.00,0.00,1.934482759,0.35862069,2.055172414,1.489655172,0.967241379,0.0000000000,0.420689655,1.255172414,0.124137931,0.00,2.637931034,1.134482759,1.612068966,0.055172414,1.256896552,0.505172414,71.95517241,87.14651479,1.977586207,9.432758621,0.722413793,Yes
50.00,1.00,38.00,1.00,0.745098039,0.019607843,12.00,0.00,3.458823529,1.839215686,0.421568627,0.154901961,1.939215686,0.0000000000,0.605882353,0.066666667,0.096078431,0.00,0.78627451,0.892156863,2.070588235,0.943137255,2.690196078,2.774509804,22.62156863,81.21568627,0.096078431,0.623529412,0.066666667,Yes
55.00,0.00,17.00,9.00,0.309090909,0.163636364,10.00,0.00,1.989090909,0.92,1.316363636,1.014545455,1.283636364,0.0000000000,0.730909091,0.996363636,0.054545455,0.00,1.287272727,1.112727273,0.909090909,0.018181818,1.207272727,0.770909091,77.54181818,89.20925075,0.134545455,5.490909091,0.305454545,Yes
57.00,4.00,45.00,11.00,0.737704918,0.180327869,4.00,1.00,3.52295082,3.359016393,0.47704918,0.26557377,2.150819672,0.0000000000,0.363934426,0.31147541,0.093442623,0.00,1.275409836,1.927868852,2.301639344,0.780327869,2.749180328,2.601639344,24.40655738,71.71311475,0.172131148,0.457377049,0.306557377,Yes
53.00,2.00,0.00,18.00,0.0000000000,0.327272727,3.00,0.00,0.498181818,0.569090909,1.792727273,1.696363636,0.516363636,0.147272727,1.232727273,1.078181818,0.130909091,0.00,1.487272727,0.909090909,0.652727273,0.105454545,0.738181818,0.292727273,67.61818182,89.56545455,0.941818182,4.867272727,0.181818182,Yes
50.00,8.00,8.00,13.00,0.137931034,0.224137931,0.00,0.00,1.146551724,0.068965517,0.677586207,0.706896552,0.068965517,0.018965517,0.346551724,0.415517241,0.0000000000,0.00,1.982758621,0.596551724,0.684482759,0.051724138,0.705172414,0.856896552,100.4206897,94.35539255,1.079310345,7.6,0.427586207,Yes
46.00,11.00,14.00,24.00,0.245614035,0.421052632,6.00,0.00,1.005263158,0.20877193,0.88245614,0.477192982,0.664912281,0.0000000000,0.043859649,0.571929825,0.026315789,0.00,2.926315789,1.149122807,1.229824561,0.464912281,1.757894737,1.650877193,44.9877193,85.31052632,1.387719298,1.405263158,0.429824561,Yes
48.00,2.00,10.00,8.00,0.2,0.16,10.00,0.00,1.39600,1.39200,2.79600,1.32,1.38400,0.064000,0.64400,1.42,2.0400,0.00,0.99600,0.91600,2.06,0.21600,1.084000,0.98400,73.136000,88.52400,0.45200,8.13200,0.236000,Yes
50.00,7.00,28.00,19.00,0.49122807,0.333333333,1.00,0.00,2.471929825,1.547368421,1.129824561,0.60877193,1.243859649,0.0000000000,0.31754386,0.780701754,0.028070175,0.00,1.705263158,1.221052632,1.331578947,0.619298246,1.714035088,1.498245614,30.54385965,76.91403509,0.761403509,0.678947368,0.171929825,Yes
55.00,3.00,48.00,10.00,0.827586207,0.172413793,14.00,0.00,5.239655172,0.482758621,1.243103448,0.546551724,1.65,0.0000000000,0.160344828,0.522413793,0.112068966,0.00,2.398275862,2.687931034,1.968965517,1.179310345,2.520689655,2.5,35.19827586,75.17743914,0.577586207,1.944827586,0.437931034,Yes
54.00,8.00,51.00,5.00,0.822580645,0.080645161,15.00,0.00,3.996774194,0.662903226,1.027419355,0.524193548,1.398387097,0.0000000000,1.34516129,0.569354839,0.148387097,0.00,0.846774194,0.859677419,1.267741935,0.94516129,1.056451613,1.775806452,21.16612903,80.37096774,0.175806452,1.114516129,0.253225806,Yes
49.00,0.00,4.00,0.00,0.081632653,0.0000000000,6.00,1.00,0.77755102,2.0000000000,1.746938776,2.765306122,0.708163265,0.597959184,5.569387755,0.259183673,0.734693878,0.00,0.251020408,0.263265306,1.063265306,0,0.195918367,0.073469388,52.50204082,89.3877551,0,5.383673469,0.026530612,Yes
58.00,8.00,18.00,18.00,0.272727273,0.272727273,4.00,0.00,1.840909091,0.345454545,0.837878788,0.987878788,0.6,0.0000000000,0.237878788,0.677272727,0.0000000000,0.00,2.106060606,2.563636364,2.418181818,0.092424242,1.883333333,1.859090909,42.81060606,83.58193302,0.548484848,1.136363636,0.066666667,Yes
37.00,3.00,0.00,7.00,0.0000000000,0.175000,5.00,0.00,2.2075,0.3,1.3175,0.3925,0.7925,0.0000000000,0.3,0.3,0.0000000000,0.00,2.0175,1.82,2,0.37,1.5325,1.1325,32.8125,80.6325,1.3475,1.41,0.0925,No
